"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,183,2023010009637,8100.0,2023000001831,280201,4,1,8100.0,0,1,20,6,1,100,0,0,7,71,1,10,10000,1,11
2023,202301,669,2023010032396,18468.0,2023000006691,80001,4,1,18468.0,0,2,19,6,1,100,0,0,7,71,1,10,7200,1,11
2023,202301,993,2023010048273,9720.0,2023000009931,140301,4,1,9720.0,0,2,19,6,1,100,0,0,6,65,1,10,8000,1,11
2023,202301,3423,2023010165030,11664.0,2023000034231,40201,4,1,11664.0,0,1,18,6,1,100,0,0,6,63,1,10,10000,1,11
2023,202301,3747,2023000003849,2268.0,2023000037471,240001,1,1,2268.0,6,1,46,1,1,100,0,0,11,115,1,10,125000,1,11
2023,202301,3747,2023000003849,2268.0,2023000037471,240001,1,2,1944.0,6,2,43,1,1,100,0,0,10,101,1,10,32000,1,11
2023,202301,3747,2023000003849,2268.0,2023000037471,240001,1,7,2916.0,0,1,21,6,1,100,0,0,7,71,1,10,15000,1,11
2023,202301,3909,2023000015008,15066.0,2023000039091,280201,1,1,15066.0,0,1,38,6,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,4071,2023000026129,4860.0,2023000040711,240001,1,1,5022.0,1,2,29,1,1,100,0,0,8,81,1,10,70000,1,11
2023,202301,4071,2023000026129,4860.0,2023000040711,240001,1,2,4860.0,1,1,30,1,1,100,0,0,7,71,1,10,80000,1,11
2023,202301,4395,2023000048344,3078.0,2023000043951,30001,1,1,3240.0,0,1,58,1,1,100,0,0,6,64,1,10,60000,1,11
2023,202301,4395,2023000048344,3078.0,2023000043951,30001,1,2,2916.0,0,2,65,1,1,100,0,0,7,71,1,10,40000,1,11
